PAIS,categoria,casos_pond,variable_interes,particip.ocup
Ecuador,Primaria,4067742.7221226064,EDUC,0.35938674086899314
Ecuador,Secundaria,5268569.80704568,EDUC,0.46548030722230516
Ecuador,Terciaria,1982253.9607552148,EDUC,0.17513295190870168
El Salvador,Primaria,791699.1185381152,EDUC,0.6086564335978646
El Salvador,Secundaria,447944.4453751713,EDUC,0.3443786435880681
El Salvador,Terciaria,61088.79483014512,EDUC,0.046964922814067424
España,Primaria,5975302.87,EDUC,0.3123973536547583
España,Secundaria,7308813.99,EDUC,0.3821152163339421
España,Terciaria,5843135.02,EDUC,0.3054874300112997
Estados Unidos,Primaria,14208541.78,EDUC,0.08474701154107384
Estados Unidos,Secundaria,90040686.67,EDUC,0.5370487155219319
Estados Unidos,Terciaria,63409093.910000004,EDUC,0.3782042729369942
Francia,Primaria,3717120.1,EDUC,0.13844336962054432
Francia,Secundaria,16215331.74,EDUC,0.6039366781828126
Francia,Terciaria,6916938.71,EDUC,0.2576199521966431
Grecia,Primaria,816399.455,EDUC,0.2139378527352737
Grecia,Secundaria,1619851.92,EDUC,0.4244829407852928
Grecia,Terciaria,1379807.5625,EDUC,0.3615792064794335
Guatemala,Primaria,3426476,EDUC,0.4617078905373407
Guatemala,Secundaria,3180447,EDUC,0.4285561828933906
Guatemala,Terciaria,814384,EDUC,0.10973592656926873
Italia,Primaria,6961846.4,EDUC,0.3014076007627716
Italia,Secundaria,10766798.575,EDUC,0.4661399778062868
Italia,Terciaria,5369134.85,EDUC,0.23245242143094158
México,Primaria,9708014,EDUC,0.22444141264534573
México,Secundaria,14780237,EDUC,0.3417070959635005
México,Terciaria,18765861,EDUC,0.43385149139115375
Noruega,Primaria,419996.52,EDUC,0.1563784248384009
Noruega,Secundaria,1384453.3425,EDUC,0.5154772067216393
Noruega,Terciaria,881320.38,EDUC,0.3281443684399597
Paraguay,Primaria,419556,EDUC,0.19779946235900125
Paraguay,Secundaria,913458,EDUC,0.4306493085250325
Paraguay,Terciaria,788104,EDUC,0.3715512291159662
Países Bajos,Primaria,1713070.94,EDUC,0.1977989182798571
Países Bajos,Secundaria,3765540.1,EDUC,0.4347862900058447
Países Bajos,Terciaria,3182057.86,EDUC,0.36741479171429814
Peru,Primaria,13650619.804348946,EDUC,0.25278682868078844
Peru,Secundaria,24109091.82748413,EDUC,0.44646037709599057
Peru,Terciaria,16240806.811264038,EDUC,0.30075279422322104
Polonia,Primaria,792732.6175,EDUC,0.04810290603786664
Polonia,Secundaria,9866023.375,EDUC,0.5986689394359642
Polonia,Terciaria,5821175.945,EDUC,0.3532281545261692
Portugal,Primaria,2164127.87,EDUC,0.45112870017996065
Portugal,Secundaria,1331900.5775,EDUC,0.27764467369320184
Portugal,Terciaria,1301112.3,EDUC,0.2712266261268374
Reino Unido,Primaria,6010926.88,EDUC,0.18661306751297005
Reino Unido,Secundaria,16958702.03,EDUC,0.526493745479854
Reino Unido,Terciaria,9241014,EDUC,0.2868931870071761
Rumanía,Primaria,1619302.8325,EDUC,0.18703628428063376
Rumanía,Secundaria,5290974.64,EDUC,0.6111298127977948
Rumanía,Terciaria,1747416.08,EDUC,0.20183390292157144
